question,ground_truth_answer
What is the capital of France?,Paris
What is the capital of Germany?,Berlin
What is the capital of Japan?,Tokyo
Who wrote Romeo and Juliet?,William Shakespeare
Who painted the Mona Lisa?,Leonardo da Vinci
What is the chemical symbol for water?,H2O
What planet is closest to the Sun?,Mercury
How many continents are there on Earth?,7
What is the speed of light in km/s?,299792
Who developed the theory of relativity?,Albert Einstein
What is the largest ocean on Earth?,Pacific Ocean
What year did World War II end?,1945
What is the square root of 144?,12
What gas do plants absorb during photosynthesis?,Carbon dioxide
Who was the first person to walk on the Moon?,Neil Armstrong
